                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.29661,                0.48585,                0.25905,                 0.8541,                      1,                0.95438,                0.96863,                0.95702,                      1,                0.95438,                0.96863,                0.90168,                0.20427,                0.42195,                0.21872,                0.78832,               0.000911,               0.000911,               0.000911
                     57,                0.29328,                0.43896,                0.24827,                0.84584,                0.99849,                0.96429,                0.97097,                0.96049,                0.99849,                0.96429,                0.97097,                0.91803,                0.18994,                0.33646,                0.18888,                 0.7832,              0.0008912,              0.0008912,              0.0008912
                     58,                0.29615,                 0.4573,                0.24813,                0.85825,                0.99913,                0.96429,                0.97134,                0.96115,                0.99913,                0.96429,                0.97134,                0.92566,                0.19166,                0.33732,                0.19068,                0.78757,              0.0008714,              0.0008714,              0.0008714
                     59,                0.28867,                0.48141,                0.24817,                0.85243,                0.99935,                0.96429,                0.97247,                0.96459,                0.99935,                0.96429,                0.97247,                0.91421,                0.19001,                0.35745,                0.18926,                0.78549,              0.0008516,              0.0008516,              0.0008516
                     60,                0.29389,                0.45041,                0.24273,                0.85064,                0.99876,                0.96429,                0.97017,                0.95828,                0.99876,                0.96429,                0.97017,                0.90762,                0.16974,                0.37025,                 0.1837,                0.78169,              0.0008318,              0.0008318,              0.0008318
                     61,                0.27847,                0.46189,                0.24532,                 0.8464,                0.99899,                0.96429,                0.97306,                0.96447,                0.99899,                0.96429,                0.97306,                0.91285,                0.18044,                0.36748,                0.17367,                0.78198,               0.000812,               0.000812,               0.000812
                     62,                0.27537,                0.44689,                0.24399,                0.84432,                 0.9993,                0.96429,                0.97139,                0.96093,                 0.9993,                0.96429,                0.97139,                0.91584,                0.18237,                0.35596,                0.19895,                0.78312,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.2792,                0.44607,                 0.2365,                0.84647,                 0.9994,                0.96429,                0.97481,                0.96526,                 0.9994,                0.96429,                0.97481,                0.91799,                0.17673,                0.34008,                0.18105,                0.78301,              0.0007724,              0.0007724,              0.0007724
                     64,                0.29027,                0.44504,                0.25966,                0.85113,                0.99917,                0.96429,                0.97759,                0.96607,                0.99917,                0.96429,                0.97759,                0.92131,                0.19286,                0.34182,                 0.1813,                0.78721,              0.0007526,              0.0007526,              0.0007526
                     65,                0.28216,                0.44479,                0.23874,                0.84437,                 0.9994,                0.96429,                0.97385,                0.96102,                 0.9994,                0.96429,                0.97385,                 0.9056,                0.18918,                 0.4026,                0.20202,                0.78804,              0.0007328,              0.0007328,              0.0007328
                     66,                0.26453,                0.42625,                0.23186,                0.83317,                0.99924,                0.96429,                0.97734,                0.96786,                0.99924,                0.96429,                0.97734,                0.93203,                0.17393,                0.32784,                0.17604,                 0.7816,               0.000713,               0.000713,               0.000713
                     67,                0.27763,                0.44068,                0.23778,                0.85993,                 0.9974,                0.96429,                0.97519,                0.96394,                 0.9974,                0.96429,                0.97519,                0.92767,                  0.177,                0.33598,                0.17571,                0.78393,              0.0006932,              0.0006932,              0.0006932
                     68,                0.27123,                0.42657,                0.22793,                0.84211,                0.99935,                0.96429,                0.97917,                0.96822,                0.99935,                0.96429,                0.97917,                 0.9285,                 0.1858,                0.34016,                0.19165,                0.78654,              0.0006734,              0.0006734,              0.0006734
                     69,                0.28711,                0.43672,                0.24708,                0.85323,                0.99723,                0.96429,                 0.9708,                0.96191,                0.99723,                0.96429,                 0.9708,                0.92073,                0.18347,                0.33392,                0.19723,                0.78291,              0.0006536,              0.0006536,              0.0006536
                     70,                0.27254,                0.45455,                0.23012,                0.84269,                0.99845,                0.96429,                0.96859,                0.95917,                0.99845,                0.96429,                0.96859,                0.91598,                0.18683,                  0.336,                0.18972,                0.78392,              0.0006338,              0.0006338,              0.0006338
                     71,                0.26248,                0.41683,                0.22541,                0.84837,                 0.9991,                0.96429,                0.96977,                0.95966,                 0.9991,                0.96429,                0.96977,                0.90953,                0.16495,                 0.3323,                0.17442,                0.78053,               0.000614,               0.000614,               0.000614
                     72,                0.26475,                0.41084,                0.22379,                0.84263,                0.99912,                0.96429,                0.96993,                0.96037,                0.99912,                0.96429,                0.96993,                0.92795,                0.17595,                 0.3277,                0.18832,                0.78084,              0.0005942,              0.0005942,              0.0005942
                     73,                0.27053,                0.41822,                0.22325,                 0.8534,                0.99791,                 0.9375,                0.96858,                0.95419,                0.99791,                 0.9375,                0.96116,                0.89096,                0.17785,                0.40845,                0.22168,                0.78689,              0.0005744,              0.0005744,              0.0005744
                     74,                0.26137,                0.42336,                0.22984,                0.84576,                0.99905,                0.96429,                0.97574,                0.96758,                0.99905,                0.96429,                0.97574,                0.92989,                0.16791,                0.33238,                0.17148,                0.78117,              0.0005546,              0.0005546,              0.0005546
                     75,                0.25708,                0.42237,                0.23051,                0.84692,                0.99743,                0.96429,                0.97111,                 0.9621,                0.99743,                0.96429,                0.97111,                0.91254,                0.16656,                0.36845,                0.17228,                 0.7812,              0.0005348,              0.0005348,              0.0005348
